,rouble,date
0,-,2023-10-23
1,-,2023-10-22
2,95.9053,2023-10-21
3,97.3074,2023-10-20
4,97.3724,2023-10-19
5,97.3458,2023-10-18
6,97.2865,2023-10-17
7,-,2023-10-16
8,-,2023-10-15
9,97.3075,2023-10-14
10,96.9948,2023-10-13
11,99.9808,2023-10-12
12,99.9349,2023-10-11
13,101.3598,2023-10-10
14,-,2023-10-09
15,-,2023-10-08
16,100.4911,2023-10-07
17,99.6762,2023-10-06
18,99.4555,2023-10-05
19,99.2677,2023-10-04
20,98.4785,2023-10-03
21,-,2023-10-02
22,-,2023-10-01
23,97.4147,2023-09-30
24,97.0018,2023-09-29
25,96.5,2023-09-28
26,96.2378,2023-09-27
27,96.1456,2023-09-26
28,-,2023-09-25
29,-,2023-09-24
